MFL_Code,Facility_Name,County,SubCounty,Owner,Latitude,Longitude
16062,Nala Maternity and Nursing Home,Kakamega,Lurambi,Private Enterprise (Institution),0.28164,34.74907
16654,Kalanga Dispensary,Kitui,Mwingi Central,Ministry of Health,-0.8215,38.3915
16215,Catholic Hospital Laisamis,Marsabit,Laisamis,Kenya Episcopal Conference-Catholic Secretariat,2.344972,37.999111
13245,Ushirika Medical Clinic,Nairobi,Kibra,Community,-1.3078,36.7728
12257,Kaviani Health Centre,Machakos,Kathiani,Ministry of Health,-1.4723,37.3089
15700,Takitech Dispensary,Narok,Transmara East,Ministry of Health,-0.9605,35.0544
13643,Kager Dispensary,Homa Bay,Rangwe,Non-Governmental Organizations,-0.561,34.5371
17799,Ololua Dispensary,Kajiado,Kajiado North,Ministry of Health,-1.3698,36.6742
19504,Child Doctor Medical Clinic,Nairobi,Kibra,Private Enterprise (Institution),-1.3164,36.8135
13582,God Jope Dispensary,Migori,Suna East,Ministry of Health,-1.049,34.5285
17511,North Star Alliance Clinic,Makueni,Kibwezi West,Non-Governmental Organizations,-2.0802,37.4739
12689,Nzatani Dispensary,Kitui,Mwingi West,Ministry of Health,-1.0979,38.0349
16425,Isamwera Dispensary,Kisii,Bonchari,Ministry of Health,-0.675747,34.771766
16786,Benga  Dispensary,Siaya,Alego Usonga,Ministry of Health,0.0952,34.1249
14454,Enaibor Ajijik Dispensary,Narok,Narok North,Ministry of Health,-0.7716,36.1675
15498,Roret Sub-District Hospital,Kericho,Bureti,Ministry of Health,-0.5003,35.0993
14646,Kaisagat Health Centre,Trans Nzoia,Kwanza,Ministry of Health,1.0762,35.0449
10808,Mwea Mission (Our Lady of Lourdes) Hospital,Kirinyaga,Kirinyaga North/Mwea West,Kenya Episcopal Conference-Catholic Secretariat,-0.6643,37.35
12179,Kanja Health Centre,Embu,Runyenjes,Ministry of Health,-0.378,37.529
15960,Likindu Dispensary,Vihiga,Hamisi,Ministry of Health,0.095981,34.739828
23415,HOPE Worldwide kenya Tassia,Nairobi,Embakasi East,Non Governmental organisation,-1.3166,36.8977
15128,Mararianta Dispensary,Narok,Narok West,Other Faith Based,-1.2376,35.1222
10233,Gatundu District Hospital,Kiambu,Gatundu South,Ministry of Health,-1.0167,36.9099
10598,Kihumbu-Ini Community Dispensary,Murang'a,Gatanga,Ministry of Health,-0.9292,36.9886
13612,Ibeno Sub-District Hospital,Kisii,Nyaribari Chache,Ministry of Health,-0.7796,34.8526
13038,Komarock Medical Clinic,Nairobi,Embakasi Central,Private Enterprise (Institution),-1.292066,36.821946
10234,Gatunyu Dispensary,Murang'a,Gatanga,Ministry of Health,-0.9606,36.9915
10257,Gitare health centre,Kiambu,Gatundu South,Ministry of Health,-1.0032,36.8188
13191,EDARP Soweto Health Centre,Nairobi,Embakasi East,Kenya Episcopal Conference-Catholic Secretariat,-1.2795,36.9097
11969,Chiakariga Health Centre,Tharaka-Nithi,Tharaka South,Ministry of Health,-0.2801,37.9211
14946,Kitalale Dispensary,Trans Nzoia,Saboti,Ministry of Health,0.984,34.9163
20593,Katilia Dispensary,Turkana,Turkana East,Ministry of Health,2.132,36.11586
15830,Burinda Dispensary,Busia,Butula,Ministry of Health,0.4608,34.1073
